name,description,postcode,date_availability,expected_price,selling_price,bedrooms,living_area,facades,garage,garden,garden_area,garden_orientation,state,active,property_type_id,tags_ids,salesperson_id,buyer_id
Gaza Central Apartment 1,Modern 3-bedroom apartment in Gaza City,Gaza001,6/1/2025,45000,0,3,85,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Affordable,CityView",Mitchell Admin,
Al-Rimal Villa 1,Spacious villa near the beach with garden,Gaza002,7/15/2025,120000,0,5,200,4,TRUE,TRUE,50,south,new,TRUE,Villa,"Luxury,Garden,Parking,Furnished",Marc Demo,
Beit Lahia House 1,Cozy family house in Beit Lahia,Gaza003,8/1/2025,60000,0,4,130,3,TRUE,TRUE,25,east,new,TRUE,House,"Garden,Parking,Family",Mitchell Admin,
Jabalia Apartment 1,Affordable 2-bedroom apartment,Gaza004,6/20/2025,32000,0,2,60,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Affordable,Quiet",Marc Demo,
Khan Younis Villa 1,Modern villa with garage and garden,Gaza005,7/10/2025,90000,0,4,160,3,TRUE,TRUE,40,north,new,TRUE,Villa,"Luxury,Garden,Parking,Renovated",Marc Demo,
Deir Al-Balah House 1,Family house near market,Gaza006,9/1/2025,55000,0,3,100,3,FALSE,TRUE,20,south,new,TRUE,House,"Garden,Traditional",Marc Demo,
Al-Shati Apartment 1,Beachfront apartment with sea view,Gaza007,7/25/2025,48000,0,3,90,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Affordable,SeaView",Marc Demo,
Tal Al-Hawa Flat 1,Newly renovated 2-bedroom flat,Gaza008,6/15/2025,42000,0,2,70,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Cozy,Modern",Marc Demo,
Al-Nuseirat House 1,Traditional Palestinian house,Gaza009,8/5/2025,65000,0,4,140,3,TRUE,TRUE,30,west,new,TRUE,House,"Garden,Parking,Spacious",Mitchell Admin,
Beach Camp Villa 1,Seaside villa with garage,Gaza010,9/10/2025,110000,0,5,210,4,TRUE,TRUE,60,south,new,TRUE,Villa,"Luxury,Beachfront,Garden,Parking",Mitchell Admin,
Al-Mansoura House 1,Spacious family home,Gaza011,7/30/2025,68000,0,4,140,3,TRUE,TRUE,28,south,new,TRUE,House,"Garden,Parking,Furnished",Mitchell Admin,
Al-Shati Flat 1,Beachfront apartment,Gaza012,8/10/2025,47000,0,3,95,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Cozy,SeaView",Mitchell Admin,
Tal Al-Hawa Apartment 1,Modern apartment with balcony,Gaza013,7/5/2025,43000,0,2,75,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Cozy,CityView",Marc Demo,
Beit Lahia Villa 1,Villa with garden and garage,Gaza014,9/1/2025,90000,0,5,170,4,TRUE,TRUE,45,north,new,TRUE,Villa,"Luxury,Garden,Parking,Renovated",Marc Demo,
Jabalia Camp House 1,Traditional style house,Gaza015,8/20/2025,60000,0,4,130,3,FALSE,TRUE,20,east,new,TRUE,House,"Garden,Traditional",Mitchell Admin,
Al-Nuseirat Apartment 1,Cozy flat near market,Gaza016,6/15/2025,35000,0,2,65,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Affordable,Quiet",Mitchell Admin,
Rafah Villa 1,Spacious villa with garage,Gaza017,10/1/2025,95000,0,5,185,4,TRUE,TRUE,50,west,new,TRUE,Villa,"Luxury,Garden,Parking,Furnished,Cozy",Mitchell Admin,
Deir Al-Balah House 2,Family house with garden,Gaza018,7/20/2025,70000,0,4,140,3,TRUE,TRUE,25,south,new,TRUE,House,"Garden,Parking,Renovated",Marc Demo,
Al-Bureij Flat 1,Affordable 2-bedroom apartment,Gaza019,6/1/2025,32000,0,2,60,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Affordable,GreenArea",Marc Demo,
Sheikh Radwan Apartment 1,Newly renovated flat,Gaza020,7/10/2025,41000,0,3,80,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Cozy,Furnished,CityView",Marc Demo,
Tal Al-Hawa House 2,Large family home with garden,Gaza021,9/5/2025,72000,0,4,150,3,TRUE,TRUE,30,east,new,TRUE,House,"Garden,Parking,Family",Mitchell Admin,
Khan Younis Villa 2,Modern villa with swimming pool,Gaza022,10/15/2025,120000,0,6,230,4,TRUE,TRUE,70,south,new,TRUE,Villa,"Luxury,Garden,Parking,Cozy",Mitchell Admin,
Al-Zaytoun House 1,Family house near school,Gaza023,8/25/2025,65000,0,4,140,3,FALSE,TRUE,20,north,new,TRUE,House,"Garden,Cozy,Furnished",Mitchell Admin,
Beach Camp Villa 2,Seaside villa with garage,Gaza024,9/15/2025,105000,0,5,200,4,TRUE,TRUE,55,west,new,TRUE,Villa,"Luxury,Beachfront,Garden,Parking",Mitchell Admin,
Al-Maghazi Apartment 1,Cozy apartment near city center,Gaza025,6/20/2025,38000,0,3,75,2,FALSE,FALSE,0,,new,TRUE,Apartment,"Cozy,Affordable",Mitchell Admin,
